Крылатые_бобы_(спаржевый_горох__квадратный_горох)__клубни__сырые,148 кКал
Крылатые_бобы_(спаржевый_горох__квадратный_горох)__листья__сырые,74 кКал
Крылатые_бобы_(спаржевый_горох__квадратный_горох)__незрелые,49 кКал
Крылатые_бобы_(спаржевый_горох__квадратный_горох)__незрелые__вареные__без_соли,38 кКал
Крылатые_бобы_(спаржевый_горох__квадратный_горох)__незрелые__вареные__с_солью,37 кКал
Кукуруза_желтая__консервированная__промытая_водой,64 кКал
Лимская_фасоль_Фордхук__незрелая__замороженная,106 кКал
Лимская_фасоль_Фордхук__незрелая__замороженная__вареная_без_соли,103 кКал
Лимская_фасоль_Фордхук__незрелая__замороженная__вареная_с_солью,103 кКал
Лимская_фасоль__крупная__зрелая,338 кКал
Лимская_фасоль__крупная__зрелая__вареная__без_соли,115 кКал
Лимская_фасоль__крупная__зрелая__вареная__с_солью,115 кКал
Лимская_фасоль__крупная__зрелая__консервированная,79 кКал
Лимская_фасоль__мелкая__зрелая,335 кКал
Лимская_фасоль__мелкая__зрелая__вареная__без_соли,126 кКал
Лимская_фасоль__мелкая__зрелая__вареная__с_солью,126 кКал
Лимская_фасоль__мелкая__незрелая__замороженная,132 кКал
Лимская_фасоль__мелкая__незрелая__замороженная__вареная__без_соли,105 кКал
Лимская_фасоль__мелкая__незрелая__замороженная__вареная__с_солью,105 кКал
Лимская_фасоль__незрелая,113 кКал
Лимская_фасоль__незрелая__вареная__без_соли,123 кКал
Лимская_фасоль__незрелая__вареная__с_солью,123 кКал
Лимская_фасоль__незрелая__консервированная,71 кКал
Лимская_фасоль__незрелая__консервированная__без_соли,71 кКал
Лобия_(гиацинтовые_бобы__египетские_бобы)_зрелые,344 кКал
Лобия_(гиацинтовые_бобы__египетские_бобы)_зрелые_вареные__без_соли,117 кКал
Лобия_(гиацинтовые_бобы__египетские_бобы)_зрелые_вареные__с_солью,117 кКал
Лобия_(гиацинтовые_бобы__египетские_бобы)_незрелые,46 кКал
