Фаст_фуд__пломбир_с_карамелью,196 кКал
Фаст_фуд__пломбир_с_клубникой,175 кКал
Фаст_фуд__рыбный_сэндвич_с_соусом_тартар,257 кКал
Фаст_фуд__рыбный_сэндвич_с_соусом_тартар_и_сыром,279 кКал
Фаст_фуд__салат_из_капусты,153 кКал
"Фаст_фуд__сэндвич_""Субмарина""_с_мясной_нарезкой",213 кКал
"Фаст_фуд__сэндвич_""Субмарина""_с_ростбифом",190 кКал
"Фаст_фуд__сэндвич_""Субмарина""_с_салатом_из_тунца",228 кКал
Фаст_фуд__сэндвич_с_куриным_филе__неприправленный,283 кКал
Фаст_фуд__сэндвич_с_поджаренным_куриным_филе__латуком__томатами_и_майонезом,276 кКал
Фаст_фуд__сэндвич_с_ростбифом__неприправленный,244 кКал
Фаст_фуд__тако,226 кКал
Фаст_фуд__чизбургер__двойной__с_большой_котлетой__овощами_и_майонезом__приправленный,253 кКал
Фаст_фуд__чизбургер__двойной__с_большой_котлетой__приправленный,272 кКал
Фаст_фуд__чизбургер__двойной__со_стандартной_котлетой__приправленный,282 кКал
Фаст_фуд__чизбургер__двойной__со_стандартной_котлетой__с_приправами_и_фирменным_соусом,261 кКал
Фаст_фуд__чизбургер__с_большой_котлетой__неприправленный,310 кКал
Фаст_фуд__чизбургер__с_большой_котлетой__овощами_и_майонезом__приправленный,268 кКал
Фаст_фуд__чизбургер__с_большой_котлетой__приправленный,269 кКал
Фаст_фуд__чизбургер__со_стандартной_котлетой_и_овощами__приправленный,254 кКал
Фаст_фуд__чизбургер__со_стандартной_котлетой__неприправленный,308 кКал
Фаст_фуд__чизбургер__со_стандартной_котлетой__приправленный,270 кКал
Фаст_фуд__чизбургер__стандартный__с_двумя_котлетами_и_булочками__неприправленный,305 кКал
Фаст_фуд__яичница_болтунья,212 кКал
Продукт,Калорийность
Абрикосовое_пюре,60 кКал
Абрикосовый_джем,276 кКал
Абрикосовый_компот._Консервы,89 кКал
Абрикосы,44 кКал
Абрикосы,48 кКал
Абрикосы_без_кожуры__консервированные_в_водной_заливке,22 кКал
Абрикосы_без_кожуры__консервированные_в_насыщенном_сахарном_сиропе,83 кКал
Абрикосы_без_кожуры__консервированные_в_экстра_насыщенном_сахарном_сиропе,96 кКал
Абрикосы_замороженные_подслащенные,98 кКал
Абрикосы_сушеные,241 кКал
Абрикосы_сушеные_(дегидрированные)__сульфитированные__неприготовленные,320 кКал
Абрикосы_сушеные_(дегидрированные)__сульфитированные__тушеные,126 кКал
Абрикосы_сушеные_(курага)__тушеные_без_сахара,85 кКал
Абрикосы_сушеные_(курага)__тушеные_с_сахаром,113 кКал
Абрикосы_сушеные_с_косточкой_(урюк),242 кКал
Абрикосы__консервированные_(половинки_или_кусочки),85 кКал
Абрикосы__консервированные_в_водной_заливке,27 кКал
Абрикосы__консервированные_в_легком_сахарном_сиропе,63 кКал
Абрикосы__консервированные_в_насыщенном_сахарном_сиропе,83 кКал
Абрикосы__консервированные_в_насыщенном_сахарном_сиропе,83 кКал
Абрикосы__консервированные_в_экстра_легком_сахарном_сиропе,49 кКал
Айва,48 кКал
Айва,57 кКал
Айвовый_компот._Консервы,82 кКал
Актинидия__(дальневосточное_киви),56 кКал
Ананас,52 кКал
Ананас_замороженный__подслащенный,86 кКал
Ананас__все_сорта,50 кКал
Ананас__консервированный_в_водной_заливке,32 кКал
Ананас__консервированный_в_легком_сахарном_сиропе,52 кКал
Ананас__консервированный_в_насыщенном_сахарном_сиропе,78 кКал
Ананас__консервированный_в_собственном_соку,60 кКал
Ананас__консервированный_в_экстра_насыщенном_сахарном_сиропе,83 кКал
Ананас__несладкие_сорта,45 кКал
Ананас__сладкие_сорта,51 кКал
"Аннона_сетчатая_(кремовое_яблоко__""бычье_сердце"")",101 кКал
Апельсин,43 кКал
Апельсин_валенсийский__Калифорния,49 кКал
Апельсин_пупочный_(сорт_навел),49 кКал
Апельсин_с_цедрой,63 кКал
Апельсин_Флорида,46 кКал
Апельсин__все_сорта,47 кКал
Апельсиновая_цедра__сырая,97 кКал
Апельсиновый_джем,268 кКал
Арбуз,27 кКал
Арбуз__сырой,30 кКал
Ацерола_(барбадосская_вишня),32 кКал
Банан,96 кКал
Бананы,89 кКал
Бананы_высушенные_(дегидрированные)_или_банановый_порошок,346 кКал
